"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Ecuador","ECU","Part time employment, male (% of total male employment)","SL.TLF.PART.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.34","","","","","","","","","","",
"Ecuador","ECU","Labor force with intermediate education, female (% of female working-age population with intermediate education)","SL.TLF.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.03","51.682","","54.915","56.326","52.849","52.109","57.117","56.813","54.635","51.768","51.562","52.336","50.967","50.494","53.453","56.406","57.55","54.838","55.065","","55.042","56.31","53.686","",
"Ecuador","ECU","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","93.72","","","","","","","","","","","","86.64","","","","","","85.02","84.75","78.44","","","","","","78.35","78.35","81.98","","","","","","79.74","80.75","82.11","","81.567","84.315","80.56","81.898","82.764","82.451","83.698","82.148","81.663","79.014","78.053","77.243","77.483","76.978","78.253","80.042","80.49","80.651","79.277","78.349","72.226","78.165","77.837","77.301","",
"Ecuador","ECU","Labor force participation rate, female (% of female population ages 15+) (national estimate)","SL.TLF.CACT.FE.NE.ZS","","","17.63","","","","","","","","","","","","17.08","","","","","","30.26","30.21","19.55","","","","","","32.76","32.72","28.16","","","","","","48.41","48.81","52.16","","45.972","54.725","53.18","49.203","52.88","51.973","52.81","52.115","52.196","49.88","48.245","47.329","48.302","48.314","47.934","52.139","55.629","56.379","54.63","54.527","48.359","53.748","54.36","52.922","",
"Ecuador","ECU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.145","80.318","","83.498","83.263","84.211","85.24","83.254","83.56","80.636","79.606","79.562","79.889","79.285","78.429","80.409","80.739","80.646","79.376","78.318","","76.816","77.927","76.72","",
"Ecuador","ECU","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.021","80.146","80.087","80.017","80.122","80.059","79.949","81.471","82.264","82.704","83.128","83.23","83.321","83.401","84.144","84.143","85.277","83.705","83.304","80.701","79.761","78.951","79.307","78.968","80.275","81.994","82.498","82.788","81.586","80.892","75.359","80.438","79.935","80.093","80.064",
"Ecuador","ECU","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.423","57.267","57.287","57.302","57.089","57.054","57.062","57.74","62.363","63.275","64.169","64.268","64.364","64.456","64.756","64.502","67.3","61.912","61.961","58.073","55.427","52.906","54.255","51.248","51.513","52.727","54.058","54.724","53.628","53.059","48.535","55.948","54.289","52.308","52.102",
"Ecuador","ECU","Children in employment, total (% of children ages 7-14)","SL.TLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","14.3","","","6.3","","3.2","","","","5.562005","","","","","","","","","",
"Ecuador","ECU","Average working hours of children, working only, male, ages 7-14 (hours per week)","SL.TLF.0714.WK.MA.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4","","","","24.80656","","","","","","","","","",
"Ecuador","ECU","Average working hours of children, study and work, ages 7-14 (hours per week)","SL.TLF.0714.SW.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1","","","","10.84399","","","","","","","","","",
"Ecuador","ECU","Average working hours of children, study and work, female, ages 7-14 (hours per week)","SL.TLF.0714.SW.FE.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1","","","","10.63699","","","","","","","","","",
"Ecuador","ECU","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7361498837188","40.5223097582393","39.818248666453","41.4588030715463","42.2662221319932","42.3783437438603","42.6501686997499","42.8626397928007","41.115836848675","41.0022161912698","44.2722216343787","41.7820994757626","42.8074696932394","44.3691319575162","43.9470285713185","43.9601798472843","44.5148635522986","44.4452141713116","43.4059294846844","44.6902446149809","45.4447844196746","45.7904513516613","45.650742077523","46.3084082352124","46.272173617463","46.7881264780497","46.5568147139982","45.4935991575586","46.1103840359544","45.5018999915321","44.3494764017615","44.3269764311642","45.3874593717506","",
"Ecuador","ECU","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8","","23.62","","","24.21","","22.93","","","","14.92","","","","","","","","","",
"Ecuador","ECU","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","4.97","","7.13","","","","4.91","","","","","","","","","",
"Ecuador","ECU","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6224140937104","28.329896794958","29.4559310368927","27.2089653545657","26.0961467268402","25.9797193848202","26.3465964671967","26.2440795280315","28.101451649183","28.0718505905906","23.7412916097353","26.512168040545","23.2402269810727","22.2590038445304","22.3493440624949","23.5346668444399","23.3098386215899","23.5730236851876","23.9110511325628","23.0905929964586","22.3189555059339","21.864026010941","23.9632109891672","25.2383834231871","25.1929615105111","24.1440944958692","23.7311807604138","23.8299430816709","22.366096602338","20.4370428012707","22.0904498835757","22.7143429544687","22.9347763722509","",
"Ecuador","ECU","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07018288612896","4.72064481956424","4.31847427936804","3.81795566720446","4.20465965268829","4.50240984967423","3.08922463603012","4.96008548744206","5.74416851242885","6.51386970307447","7.12901835758571","5.92554919205827","4.90494491934284","6.35628073057485","5.54277029542711","6.71731617398077","5.75260454324406","5.81189622386702","5.90610430972083","5.24138473819137","4.69109468096714","5.2628022599997","4.97335283783088","4.2284982004348","5.2224116440689","6.58550675546862","6.97107512330124","6.76636208112939","7.28010301556175","8.97501888058498","9.56449825467254","8.21995392780437","7.08633169562106","",
"Ecuador","ECU","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.32","","","","96.84","","","","","","","","","",
"Ecuador","ECU","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3310638024544","40.2374013372452","39.6209444572213","38.7655139019853","38.8442436147891","40.0169605292462","38.0573919274045","38.9248526568074","40.2083308972687","41.4441825255061","42.6882302491965","41.2515985985305","40.0316007514457","42.3096240172761","40.2984511473261","40.6047535762296","40.387451671385","39.7874462990479","41.4356282408686","40.9738364340124","42.9331892725389","42.5688438472998","41.7912054288801","39.5823673507179","41.6694243956671","45.3295491656524","46.4090131920867","47.0066587929849","48.4823039925483","52.0007471195705","51.762577939738","50.5976223256222","48.4850810679648","",
"Ecuador","ECU","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.86","59.16","59.9","","60.403","66.396","61.86","61.636","64.093","64.446","65.537","64.669","63.943","61.063","60.122","59.643","60.431","60.342","60.44","63.284","64.558","65.539","64.308","63.656","56.361","62.728","63.388","62.225","",
"Ecuador","ECU","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.26","43.09","44.53","","43.014","51.877","46.68","46.174","49.864","49.529","50.506","50.08","49.595","46.958","45.857","45.308","46.46","46.548","45.955","49.794","52.396","53.618","52.237","52.028","44.816","50.685","51.979","50.64","",
"Ecuador","ECU","Self-employed, female (% of female employment) (modeled ILO estimate)","SL.EMP.SELF.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.3420769926085","57.9708088277805","58.7941990637997","56.5591693325931","56.7225446712054","56.3468909872694","53.893631140428","57.1562564955311","57.1177112604973","57.0232506342897","56.4814809905858","53.9213082015023","51.6569345417375","56.8100959538657","52.7890697976382","54.8860831786567","53.6087597195373","52.9065224485235","52.7357151282487","50.9007542767134","53.2832654714341","53.2166118302648","52.7410012292247","50.8426103374468","53.6140318801858","57.4344563744048","58.5258547150376","58.940348892264","60.1252179569416","63.0099549970164","63.2581038610242","62.563916961582","59.458671540689","",
"Ecuador","ECU","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","SL.EMP.1524.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.657","43.669","43.608","43.505","43.477","43.457","43.262","47.574","47.121","46.762","47.668","47.434","47.008","48.512","48.347","50.027","47.325","46.122","42.952","40.537","38.031","39.332","37.676","36.509","38.991","40.16","41.398","40.479","40.097","35.282","41.32","41.467","39.979","38.78",
"Ecuador","ECU","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","SL.EMP.1524.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.279","34.26","34.179","34.187","34.167","34.134","33.125","37.324","35.77","34.323","35.452","35.855","36.082","37.833","36.121","36.746","36.437","34.761","32.226","29.489","26.668","28.007","27.265","25.001","28.716","30.258","31.356","30.457","30.461","25.939","30.235","31.959","30.539","29.448",
"Ecuador","ECU","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.7942647328259","20.9603285977831","20.5333923603137","20.9719754344857","21.0969311136217","21.5091689170254","20.8979587206697","21.8785075867803","22.4256160741178","23.0089545791753","24.0421864736292","23.1517453403499","23.2438485517993","26.211105584653","25.4830622597174","25.0810985866597","22.7209739295429","21.6709002000841","21.9591290751924","20.8991414106504","20.888863621651","21.0576925358942","20.7607290696781","20.1470565111357","22.6085878574956","23.8558265505909","24.8040368952708","26.1447835256934","27.1920219477747","28.4521690681442","30.3876535445284","29.4872195264329","27.5601543414447","",
"Ecuador","ECU","Prosperity gap (average shortfall from a prosperity standard of $28/day)","SI.SPR.PGAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","","","","","","","9","9.1","","","8","10","11.2","","","7.2","7.8","6.2","5","5.2","5","4.8","4.2","4","3.7","3.4","3.2","3.4","3.4","3.2","3.3","3.3","4","3.5","3.3","3.3","",
"Ecuador","ECU","Survey mean consumption or income per capita, bottom 40% of population (2021 PPP $ per day)","SI.SPR.PC40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.38","","","","","6.13","",
"Ecuador","ECU","Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population)","SI.POV.UMIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.8","","","","","","","65.9","65.3","","","65","68.6","76.6","","","58.7","59.7","51.9","46.8","45.9","43.4","44.4","39.7","35.9","32.6","32.5","28.7","29.8","29.3","28.3","28.9","30.6","36","33.5","30.9","30.8","",
"Ecuador","ECU","Multidimensional poverty headcount ratio (UNDP) (% of population)","SI.POV.MPUN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","","","","","",
"Ecuador","ECU","Poverty gap at $3.00 a day (2021 PPP) (%)","SI.POV.GAPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","","","","","","","9.4","7.8","","","7.9","11.9","14.5","","","7.4","7.8","5.9","3.9","4.2","3.8","3.4","2.6","2.3","2.1","1.4","1.2","1.7","1.7","1.5","1.5","1.5","2.9","1.5","1.4","1.5","",
"Ecuador","ECU","Proportion of people living below 50 percent of median income (%)","SI.DST.50MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2","","","","","23","22.3","","","22.4","22.2","22.9","21","21","21.4","20","20.1","19.6","21.2","19.6","18.7","19","18.5","19.1","19.3","20.3","20.1","18.4","19.8","19","",
"Ecuador","ECU","Income share held by third 20%","SI.DST.03RD.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3","","","","","","","12","12.5","","","12.5","10.7","11.2","","","11.9","11.8","12","12.1","11.7","12.9","13.1","13","13.9","14","13.5","14","13.8","14.1","14.3","14","13.9","13.6","13.9","14","14.2","",
"Ecuador","ECU","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.37989044","64.61421204","67.37608337","68.78860474","67.7124176","69.33354187","67.20386505","60.44189072","59.977005","57.39411926","52.80361938","52.08981323","48.64523697","42.96456909","38.38348007","42.18254471","39.1353302","38.25808716","36.30538559","37.25939178","39.110466","36.36964417","38.64348602","","",
"Ecuador","ECU","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0150235106636","76.4705353199934","89.4273827068351","108.663592176894","123.238031463647","127.746405317385","145.971338986746","176.45260021347","191.383894059071","216.0339532149","264.840724807703","308.23925573016","360.697978541049","434.37695787455","489.092625287446","483.840663009681","496.284049741552","540.426745170058","590.509331772375","578.502251400434","556.561435600132","621.898191620814","603.666392309586","","",
"Ecuador","ECU","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.83564568","33.42656708","31.56737137","30.64495087","31.10991859","30.06385994","31.85184288","39.21026611","39.65284348","42.39567947","47.03132629","47.77166367","51.28704071","56.95405197","61.43726349","57.71389771","60.69910049","61.62122726","63.59970093","62.68743134","60.7310524","63.19903946","61.03505325","","",
"Ecuador","ECU","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194.256192341784","228.771740232311","283.290563446727","354.58890796737","396.137413115222","424.916840545539","458.282253758874","450.016331368042","482.64858428433","509.565978898221","563.115596928007","645.234484268013","703.292655485866","762.679629554827","796.084654810631","838.343428524153","817.613504147353","877.013914787978","928.478192742189","922.836079148773","916.436299103875","984.031132819934","989.048695324705","","",
"Ecuador","ECU","Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%)","SH.UHC.TOTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.07","","17.13","","","","","","","","","","","",
"Ecuador","ECU","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%)","SH.UHC.OOPC.25.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.51","","2.44","","","","","","","","","","","",
"Ecuador","ECU","Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%)","SH.UHC.NOP1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","","0.66","","","","","","","","","","","",
"Ecuador","ECU","Incidence of tuberculosis (per 100,000 people)","SH.TBS.INCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","58","55","64","58","40","41","43","42","40","40","42","44","42","40","39","40","43","44","46","45","46","46","58","",
"Ecuador","ECU","PPG, other private creditors (NFL, current US$)","DT.NFL.PROP.CD","","","","","","","","","","","16592000","7741000","10775000","359000","-14800000","-365000","-7669000","7990000","30033000","44470000","99361000","88681000","17341000","71676000","67620000","78435000","12879000","-19716000","30632000","139389000","39696000","-22241000","-113889000","-113573000","-79927000","-127826000","3828000","-25293000","-56967000","-33680000","-31928000","-25200000","-11080000","-5614000","-5781000","-18519000","41371000","-22367000","-7786000","-7439000","-7715000","-8009000","-6998000","-6008000","993968000","-216606000","-217012000","-217446000","-214158000","-157894000","","","","","",
"Ecuador","ECU","PPG, commercial banks (NFL, current US$)","DT.NFL.PCBK.CD","","","","","","","","","","","-262000","-514000","51220000","10995000","-10070000","82515000","91434000","391244000","302660000","363358000","387203000","435678000","-138116000","17372000","377152000","159764000","260984000","29427000","-114686000","63420000","12220000","-35049000","-47321000","60171000","41432000","-2358000","252882000","359672000","-34897000","6202000","-48258000","15617000","-29415000","-113404000","-445981000","-84273000","-36527000","-24392000","-37055000","-34877000","-32118000","-24802000","-25011000","24335000","1228155000","482051000","330338000","-233461000","930860000","-813132000","-1543815000","-177721000","-91170000","598097000","",
"Ecuador","ECU","Net financial flows, others (NFL, current US$)","DT.NFL.MOTH.CD","","","","","","","","","","","","","1225000","298000","941000","519000","11167000","2609000","-153000","3234000","-481000","-3508000","2968000","-2938000","2238000","-70189.6","42786267.9","33653091.8","18489261","12489493.5","7131897.2","8038567.2","10058078.1","58944001.9","22577371.7","-7142382.6","276858639","75079163.5","149265777.2","157188111.1","21430853.8","-2309800.2","-46973298.9","79828286.7","21029686.3","50728491","412586466.5","601608358.9","-286074968.4","38540151.4","455350593.3","158112918.1","139676546.5","72502883.4","109493531.8","375265662.7","224989759.7","191002282.3","333273702.7","201917047.8","487760240.6","219025373.2","-157619332.3","136896864.9","",
"Ecuador","ECU","Net financial flows, IMF nonconcessional (NFL, current US$)","DT.NFL.IMFN.CD","","","","","","","","","","","3500000","-8274956.3","2985675","-16515086.3","-3163035.3","0","20273810.2","0","-10369809.9","0","0","0","0","217570000","40360000","85690000","82570000","-68771051.8","-59811625.1","-68526850.1","-83118946.8","-80023077.9","-77362408.2","-29102216","120234538.5","-28889718.9","-22971594.5","-2701264.7","-67092646.8","-67617559.6","149503940.7","48122896.5","97871265.1","49807071.6","-111997166.6","-195035472.1","-58338364.6","-23116481.1","","","","","","","","","363681011.6","0","0","1352593326.6","4428400292.4","669387782.3","1615271442.7","-228950834.7","",
"Ecuador","ECU","Net official flows from UN agencies, IAEA (current US$)","DT.NFL.IAEA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550000.011920929","500000","419999.986886978","270000.010728836","469999.998807907","409999.996423721","189999.997615814","270000.010728836","310000.002384186","378214.091062546","766846.299171448","560545.62330246","470558.255910873","497853.130102158","323919.713497162","1069232.46383667","1164299.72648621","","",
"Ecuador","ECU","Portfolio investment, bonds (PPG + PNG) (NFL, current US$)","DT.NFL.BOND.CD","","","","","","","","","","","-192000","-204000","756000","-242000","-269000","-265000","3832000","51996000","13412000","-3169000","-13969000","-13969000","-14777000","-11368000","-12489000","-1840000","-192000","","","","","","","","","456000","-9538000","249094000","-39552000","-37052000","-524750000","0","-350000000","0","-152977000","642259000","-746909000","-9052000","-11316000","-6090489000","-16237000","-12431000","-14229000","-16027000","1982175000","375715000","2716911000","6451459000","2684873000","3057071000","-77186000","-200000000","-54000000","-64000000","",
"Ecuador","ECU","Present value of external debt (current US$)","DT.DOD.PVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39658272056.8","",
"Ecuador","ECU","Short-term debt (% of total external debt)","DT.DOD.DSTC.ZS","","","","","","","","","","","26.3601","27.523","24.3194","24.2185","23.9876","19.9219","19.7676","34.4374","29.2988","24.7768","25.7824","26.0025","28.0639","15.1567","15.2983","11.2519","5.3431","8.4768","11.0405","12.37","14.9144","17.5085","18.3364","27.3645","22.6469","7.7171","9.0869","11.2661","12.2636","5.9155","4.6387","7.7675","11.817","8.5831","8.3561","7.441","8.689","8.9709","8.689","10.0585","6.9133","5.2225","4.8153","4.4824","4.0464","3.7379","2.4673","2.6583","2.3952","1.7967","2.0009","2.1561","3.1693","2.8725","",
"Ecuador","ECU","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)","DT.DOD.DPPG.CD","","","","","","","","","","","233172588.1","254792965.1","334419121.8","366739123.7","378998193.9","522279992.3","695102930.2","1223164571.4","2330101233.8","2714392148.3","3412423611.2","4299236471","3987975417","5644166367.7","6649718044.1","7288214242.7","8343481777.2","9071316781.5","9091609681.9","9485826448","9920448835.6","10003804042.1","9814008360.6","9943872944.5","13582684124.5","15076527679.5","15405546236.1","15821006995.3","15970730095","16363897808","14760325374","14541055237.7","14329126083.4","14489082235.7","14133159848.1","14117632383.5","13570101766.9","13987986545.8","13339094423.3","7113257228.2","8799635307.6","10164301966.6","10425065054.4","12496285535","17577640923.1","20157478183.5","25579817021.2","31626907607.8","35494363943","38404335119.2","37785250299.2","38752716652.3","39483140087.6","39657985905.1","",
"Ecuador","ECU","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","14.1927832794114","15.904505100584","17.0628889685685","15.2008724912424","11.0181858483832","12.947302494577","13.562283310677","22.9517671389724","35.0871154827785","33.6766053246669","35.3771055762135","36.9261227127414","41.2459241144816","47.306133732631","53.1348816605714","54.6461026728311","65.9936754819638","81.9007104347658","91.4592257275628","90.8195094143478","86.6981754415729","78.8925514713889","71.5025105701137","78.1049066512737","83.1739205763006","72.3232199610065","72.1270133139385","67.6746512650172","69.0833455195625","104.210741329627","106.424172888522","81.8056350447042","75.8700823902959","67.744877233119","61.8221393765361","53.0944876560719","46.474573021664","44.0856878116611","31.8666469659836","22.7348481565085","22.9267416497492","20.8128267378918","18.8054980939561","20.0522206650203","24.6905647226746","29.7448712901636","36.9480973788042","40.3243295654818","42.990885818293","49.6563976530692","60.9449458519181","54.9799279315673","52.9169577089111","52.121445895075","",
"Ecuador","ECU","Net ODA provided, total (current US$)","DC.ODA.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Net bilateral aid flows from DAC donors, Total (current US$)","DC.DAC.TOTL.CD","6019999.99955297","11000000","12079999.9982119","14620000.0029057","17009999.9979138","18689999.6884167","22789999.2018938","24319999.6389449","15119999.665767","13259999.9122322","14540000.0642985","17360000.1297891","13850000.0517815","22280000.1036376","21009999.9122322","25410000.1398474","37250000.9201467","23000000.230968","23709999.6767938","50210000.3808737","24010000.3499538","26749999.8323619","31299999.6542931","40700000.0495464","62360000.04597","72169999.4709343","86099999.5544553","180660001.64859","138170000.683516","132710000.585765","129109999.91931","179240000.111982","211719999.754801","177570002.350956","182149999.490008","172930000.256747","223720000.643283","152990000.938997","169050000.313669","144340000.361204","144980001.717806","153380002.040416","214369998.846203","189189998.075366","173990001.736209","227320005.016401","199409998.565912","218919998.059049","236669997.969642","210210001.494736","151049999.020994","156810000.628233","156309999.438003","152249999.864027","166420002.240688","315629995.858297","237959997.791797","203530002.241954","400439995.979891","466739996.224642","315089999.282732","264869996.612891","344100003.842264","","",
